L0	pip	GagLattice
100	10000	0.0
100	50000	0.0
100	100000	0.0
100	500000	0.0
100	1000000	0.0
100	5000000	0.0
100	10000000	0.0
100	50000000	0.0
500	10000	0.0
500	50000	0.0
500	100000	0.0
500	500000	0.0
500	1000000	0.0
500	5000000	0.0
500	10000000	0.0
500	50000000	0.0
1000	10000	0.0
1000	50000	6.0
1000	100000	9.0
1000	500000	14.0
1000	1000000	16.0
1000	5000000	18.0
1000	10000000	18.0
1000	50000000	18.0
5000	10000	10.0
5000	50000	16.0
5000	100000	17.0
5000	500000	18.0
5000	1000000	18.0
5000	5000000	18.0
5000	10000000	18.0
5000	50000000	19.0
10000	10000	13.0
10000	50000	18.0
10000	100000	18.0
10000	500000	18.0
10000	1000000	18.0
10000	5000000	18.0
10000	10000000	19.0
10000	50000000	19.0
50000	10000	17.0
50000	50000	18.0
50000	100000	18.0
50000	500000	18.0
50000	1000000	18.0
50000	5000000	19.0
50000	10000000	19.0
50000	50000000	19.0
100000	10000	17.0
100000	50000	18.0
100000	100000	19.0
100000	500000	18.0
100000	1000000	19.0
100000	5000000	19.0
100000	10000000	18.0
100000	50000000	18.0
