poly	dimer	lattice	
10	100	0.0
10	500	0.0
10	1000	0.0
10	5000	0.0
10	10000	0.0
10	50000	0.0
10	100000	0.0
10	500000	0.0
10	1000000	0.0
10	5000000	0.0
50	100	0.0
50	500	0.0
50	1000	0.0
50	5000	0.0
50	10000	0.0
50	50000	0.0
50	100000	0.0
50	500000	0.0
50	1000000	0.0
50	5000000	0.0
100	100	0.0
100	500	0.0
100	1000	0.0
100	5000	0.0
100	10000	0.0
100	50000	0.0
100	100000	0.0
100	500000	0.0
100	1000000	0.0
100	5000000	0.0
500	100	0.0
500	500	0.0
500	1000	0.0
500	5000	0.0
500	10000	0.0
500	50000	0.0
500	100000	0.0
500	500000	0.0
500	1000000	0.0
500	5000000	0.0
1000	100	0.0
1000	500	0.0
1000	1000	0.0
1000	5000	0.0
1000	10000	0.0
1000	50000	0.0
1000	100000	0.0
1000	500000	0.0
1000	1000000	0.0
1000	5000000	0.0
5000	100	0.0
5000	500	0.0
5000	1000	0.0
5000	5000	0.0
5000	10000	0.0
5000	50000	1.0
5000	100000	2.0
5000	500000	8.0
5000	1000000	12.0
5000	5000000	11.0
10000	100	0.0
10000	500	0.0
10000	1000	0.0
10000	5000	0.0
10000	10000	1.0
10000	50000	24.0
10000	100000	27.0
10000	500000	31.0
10000	1000000	33.0
10000	5000000	33.0
50000	100	0.0
50000	500	2.0
50000	1000	4.0
50000	5000	29.0
50000	10000	34.0
50000	50000	38.0
50000	100000	40.0
50000	500000	46.0
50000	1000000	50.0
50000	5000000	54.0
100000	100	5.0
100000	500	12.0
100000	1000	19.0
100000	5000	34.0
100000	10000	36.0
100000	50000	43.0
100000	100000	46.0
100000	500000	60.0
100000	1000000	65.0
100000	5000000	74.0
500000	100	37.0
500000	500	41.0
500000	1000	42.0
500000	5000	50.0
500000	10000	53.0
500000	50000	72.0
500000	100000	84.0
500000	500000	137.0
500000	1000000	161.0
500000	5000000	182.0
