L0	pip	lattice
10	100	0.0
10	500	0.0
10	1000	0.0
10	5000	0.0
10	10000	0.0
10	50000	0.0
10	100000	0.0
10	500000	0.0
10	1000000	0.0
10	5000000	0.0
50	100	0.0
50	500	0.0
50	1000	0.0
50	5000	0.0
50	10000	0.0
50	50000	0.0
50	100000	0.0
50	500000	0.0
50	1000000	0.0
50	5000000	0.0
100	100	0.0
100	500	0.0
100	1000	0.0
100	5000	0.0
100	10000	0.0
100	50000	0.0
100	100000	0.0
100	500000	0.0
100	1000000	0.0
100	5000000	0.0
500	100	0.0
500	500	0.0
500	1000	0.0
500	5000	0.0
500	10000	0.0
500	50000	0.0
500	100000	0.0
500	500000	0.0
500	1000000	0.0
500	5000000	0.0
1000	100	0.0
1000	500	0.0
1000	1000	0.0
1000	5000	0.0
1000	10000	0.0
1000	50000	1.0
1000	100000	2.0
1000	500000	4.0
1000	1000000	5.0
1000	5000000	5.0
5000	100	0.0
5000	500	0.0
5000	1000	0.0
5000	5000	0.0
5000	10000	5.0
5000	50000	17.0
5000	100000	22.0
5000	500000	25.0
5000	1000000	26.0
5000	5000000	26.0
10000	100	0.0
10000	500	0.0
10000	1000	0.0
10000	5000	6.0
10000	10000	12.0
10000	50000	27.0
10000	100000	30.0
10000	500000	34.0
10000	1000000	34.0
10000	5000000	35.0
50000	100	0.0
50000	500	1.0
50000	1000	6.0
50000	5000	24.0
50000	10000	36.0
50000	50000	58.0
50000	100000	69.0
50000	500000	85.0
50000	1000000	88.0
50000	5000000	91.0
100000	100	0.0
100000	500	5.0
100000	1000	13.0
100000	5000	35.0
100000	10000	48.0
100000	50000	72.0
100000	100000	81.0
100000	500000	89.0
100000	1000000	96.0
100000	5000000	93.0
500000	100	4.0
500000	500	25.0
500000	1000	37.0
500000	5000	66.0
500000	10000	73.0
500000	50000	88.0
500000	100000	94.0
500000	500000	96.0
500000	1000000	98.0
500000	5000000	95.0
