poly	dimer	lattice
10	100	0.0
10	500	0.0
10	1000	0.0
10	5000	0.0
10	10000	0.0
10	50000	0.0
10	100000	0.0
10	500000	0.0
10	1000000	0.0
10	5000000	0.0
50	100	0.0
50	500	0.0
50	1000	0.0
50	5000	0.0
50	10000	0.0
50	50000	0.0
50	100000	0.0
50	500000	0.0
50	1000000	0.0
50	5000000	0.0
100	100	0.0
100	500	0.0
100	1000	0.0
100	5000	0.0
100	10000	0.0
100	50000	0.0
100	100000	0.0
100	500000	0.0
100	1000000	0.0
100	5000000	0.0
500	100	0.0
500	500	0.0
500	1000	0.0
500	5000	0.0
500	10000	0.0
500	50000	0.0
500	100000	0.0
500	500000	0.0
500	1000000	0.0
500	5000000	0.0
1000	100	0.0
1000	500	0.0
1000	1000	0.0
1000	5000	0.0
1000	10000	0.0
1000	50000	0.0
1000	100000	0.0
1000	500000	0.0
1000	1000000	0.0
1000	5000000	0.0
5000	100	0.0
5000	500	0.0
5000	1000	0.0
5000	5000	0.0
5000	10000	0.0
5000	50000	1.0
5000	100000	3.0
5000	500000	9.0
5000	1000000	8.0
5000	5000000	13.0
10000	100	0.0
10000	500	0.0
10000	1000	0.0
10000	5000	0.0
10000	10000	4.0
10000	50000	24.0
10000	100000	28.0
10000	500000	31.0
10000	1000000	33.0
10000	5000000	33.0
50000	100	0.0
50000	500	1.0
50000	1000	5.0
50000	5000	30.0
50000	10000	34.0
50000	50000	38.0
50000	100000	40.0
50000	500000	47.0
50000	1000000	49.0
50000	5000000	55.0
100000	100	3.0
100000	500	10.0
100000	1000	19.0
100000	5000	35.0
100000	10000	38.0
100000	50000	45.0
100000	100000	49.0
100000	500000	62.0
100000	1000000	69.0
100000	5000000	79.0
500000	100	37.0
500000	500	41.0
500000	1000	43.0
500000	5000	51.0
500000	10000	55.0
500000	50000	76.0
500000	100000	94.0
500000	500000	159.0
500000	1000000	190.0
500000	5000000	253.0
